,time,appv,current,status,power
217,217,0.7468643411977616,0.0012135922619654128,+v,0.0009063887852154993
218,218,0.7308363661140813,0.0010634879774033806,+v,0.0007772356888115009
219,219,0.7128052193506949,0.0009104686784541497,+v,0.0006489868260574474
220,220,0.6928203230275515,0.0007549537855750889,+v,0.0005230473255930059
221,221,0.6709364543563396,0.000597369559074757,+v,0.00040079701390602747
222,222,0.6472135954999583,0.00043814793079357254,+v,0.000283575297649775
223,223,0.6217167691655768,0.0002777253202368534,+v,0.00017266648881313168
224,224,0.5945158603819164,0.00011654143840532941,+v,6.928573352369053e-05
225,225,0.5656854249492389,-4.496191739813487e-05,+v,-2.54343013498965e-05
226,226,0.5353044850870873,-0.00020634207448200578,+v,-0.00011045583793239151
227,227,0.5034563128398706,-0.0003671566980806907,+v,-0.00018484735745016612
228,228,0.4702282018339789,-0.0005269650037444578,+v,-0.0002477938061401923
229,229,0.4357112280120219,-0.0006853289654814975,+v,-0.00029860552514215184
230,230,0.40000000000000124,-0.0008418145163405851,+v,-0.00033672580653623505
231,231,0.3631923997916385,-0.000995992738143559,+v,-0.0003617369927414042
232,232,0.32538931446064107,-0.0011474410371064264,+v,-0.00037336505244806706
233,233,0.2866943596362409,-0.0012957443021268918,+v,-0.0003714825829505771
234,234,0.24721359549995842,-0.0014404960425632974,+v,-0.0003561102059855339
235,235,0.20705523608201687,-0.0015812995023863912,+v,-0.00032741634178299
236,236,0.1663293526542089,-0.00171776874765002,+v,-0.00028571536380625896
237,237,0.12514757203218588,-0.001849529724300058,+v,-0.0002314641543975104
238,238,0.08362277061412374,-0.001976221283421989,+v,-0.00016525709906634617
239,239,0.041868764994355795,-0.002097496171117148,+v,-8.781957426506497e-05
240,240,4.898587196589413e-16,-0.002213021980294245,+v,-1.0840681138440337e-18
241,241,-0.041868764994354817,-0.002322482061767388,-v,9.723945564774341e-05
242,242,-0.08362277061412135,-0.0024255763921632893,-v,0.00020283341824889879
243,243,-0.1251475720321835,-0.0025220223962587923,-v,0.0003156249795025772
244,244,-0.16632935265420654,-0.0026115557214945843,-v,0.0004343783725765835
245,245,-0.2070552360820159,-0.0026939309625423425,-v,0.000557792511437857
246,246,-0.2472135954999561,-0.002768922333939165,-v,0.0006845152458332312
247,247,-0.2866943596362387,-0.00283632428894571,-v,0.0008131581757400004
248,248,-0.32538931446063885,-0.0028959520829316228,-v,0.0009423118629759799
249,249,-0.36319239979163637,-0.002947642279744224,-v,0.0010705612733075947
250,250,-0.3999999999999992,-0.0029912531996723617,-v,0.0011965012798689422
251,251,-0.43571122801202106,-0.0030266653077776263,-v,0.0013187520580331712
252,252,-0.47022820183397807,-0.003053781541528523,-v,0.0014359742030667511
253,253,-0.5034563128398698,-0.0030725275768395464,-v,0.0015468834049344577
254,254,-0.5353044850870865,-0.0030828520317859507,-v,0.0016502645194748568
255,255,-0.5656854249492381,-0.003084726607435844,-v,0.001744984881779567
